INFO 2025-10-04 20:30:30,174 middleware 11668 35792 REQUEST: POST /api/v1/shipping-addresses/ - User:  - IP: 127.0.0.1
INFO 2025-10-04 20:30:30,175 middleware 11668 35792 RESPONSE: POST /api/v1/shipping-addresses/ - Status: 404 - Duration: 0.001s
WARNING 2025-10-04 20:30:30,175 log 11668 35792 Not Found: /api/v1/shipping-addresses/
INFO 2025-10-04 20:30:30,484 middleware 11668 35792 REQUEST: DELETE /api/v1/shipping-addresses/1/ - User:  - IP: 127.0.0.1
INFO 2025-10-04 20:30:30,485 middleware 11668 35792 RESPONSE: DELETE /api/v1/shipping-addresses/1/ - Status: 404 - Duration: 0.000s
WARNING 2025-10-04 20:30:30,485 log 11668 35792 Not Found: /api/v1/shipping-addresses/1/
INFO 2025-10-04 20:30:30,849 middleware 11668 35792 REQUEST: GET /api/v1/shipping-addresses/ - User:  - IP: 127.0.0.1
INFO 2025-10-04 20:30:30,850 middleware 11668 35792 RESPONSE: GET /api/v1/shipping-addresses/ - Status: 404 - Duration: 0.001s
WARNING 2025-10-04 20:30:30,850 log 11668 35792 Not Found: /api/v1/shipping-addresses/
INFO 2025-10-04 20:30:31,151 middleware 11668 35792 REQUEST: POST /api/v1/shipping-addresses/1/set_default/ - User:  - IP: 127.0.0.1
INFO 2025-10-04 20:30:31,152 middleware 11668 35792 RESPONSE: POST /api/v1/shipping-addresses/1/set_default/ - Status: 404 - Duration: 0.001s
WARNING 2025-10-04 20:30:31,152 log 11668 35792 Not Found: /api/v1/shipping-addresses/1/set_default/
INFO 2025-10-04 20:30:31,452 middleware 11668 35792 REQUEST: PUT /api/v1/shipping-addresses/1/ - User:  - IP: 127.0.0.1
INFO 2025-10-04 20:30:31,453 middleware 11668 35792 RESPONSE: PUT /api/v1/shipping-addresses/1/ - Status: 404 - Duration: 0.001s
WARNING 2025-10-04 20:30:31,454 log 11668 35792 Not Found: /api/v1/shipping-addresses/1/
INFO 2025-10-04 20:30:33,304 middleware 11668 35792 REQUEST: POST /api/v1/payments/5946dd39-b8f2-4a0a-b82a-11e71fd4656c/cancel/ - User:  - IP: 127.0.0.1
